word,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,cmv_concrete,cmv_valence,cmv_arousal,cmv_dominance
accessible,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8,6.68,3.2,6.58
accession,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
accessory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,5.35,4.22,5.83
accident,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.26,2.55,4.93,3.0
accidental,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.17,3.46,4.0,3.41
accidentally,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.71,5.063900388098289,4.21066551674573,5.184823199655046
accolade,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.46,5.063900388098289,4.21066551674573,5.184823199655046
accommodate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,6.35,3.0,6.27
accommodation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.96,6.76,4.72,6.0
accompaniment,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.26,5.063900388098289,4.21066551674573,5.184823199655046
accompany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,5.47,3.85,5.63
accompanying,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
accomplice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34,4.6,4.5,5.2
accomplish,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.33,7.45,5.16,7.27
accomplished,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.7,5.063900388098289,4.21066551674573,5.184823199655046
accomplishment,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,8.05,4.96,6.5
accord,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.57,6.38,2.85,5.64
accordance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,5.063900388098289,4.21066551674573,5.184823199655046
accordion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86,5.26,2.94,5.21
account,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.08,5.39,3.76,5.06
accountability,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.55,4.89,3.7,6.55
accountable,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.21,5.7,4.2,5.57
accountant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.41,5.19,3.81,5.72
accounting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,4.42,3.68,4.48
accounts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
accredited,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.27,5.063900388098289,4.21066551674573,5.184823199655046
accretion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
accrue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,5.063900388098289,4.21066551674573,5.184823199655046
accueil,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
accumulate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.33,2.73,6.15
accumulation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,5.063900388098289,4.21066551674573,5.184823199655046
accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,6.32,3.33,6.74
accurate,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.9,7.42,4.35,6.47
accursed,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.93,3.21,5.33,4.13
accusation,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.38,3.38,5.48,3.62
accusative,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.6,5.063900388098289,4.21066551674573,5.184823199655046
accused,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.93,5.063900388098289,4.21066551674573,5.184823199655046
accuser,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.44,5.063900388098289,4.21066551674573,5.184823199655046
accusing,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
accustomed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,5.063900388098289,4.21066551674573,5.184823199655046
ace,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.92,6.37,4.64,6.61
acetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
ache,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.43,3.27,4.3,4.0
achieve,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.29,7.75,4.7,6.61
achievement,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.37,7.28,5.57,7.17
aching,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.72,5.063900388098289,4.21066551674573,5.184823199655046
acid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.25,3.26,4.77,4.26
acidity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,5.063900388098289,4.21066551674573,5.184823199655046
acknowledge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,6.43,3.26,6.11
acknowledged,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,5.063900388098289,4.21066551674573,5.184823199655046
acknowledgment,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
